lemma,poscode,surface
heart,3,heart
retrocardiac,4,retrocardiac
coronary,4,coronary
cardiac,4,cardiac
carotid,4,carotid
pulmonary,4,pulmonary
stomach,3,stomach
gastric,4,gastric
lung,3,lung
aorta,3,aorta
aortic,4,aortic
renal,4,renal
retroperitoneal,4,retroperitoneal,rp,retro-peritonial
atrioventricular,4,av,atrioventricular
thoracic,3,thoracic
carina,3,carina
atrium,3,atrium
ventricle,3,ventricle
apical,4,apical
apices,3,apices,apex
bibasilar,4,bibasilar
perirenal,4,perirenal
paracolic,4,paracolic
kidney,3,kidney,kidneys
pancreas,3,pancreas
pancreatic,4,pancreatic
gallbladder,3,gallbladder
bladder,3,bladder
prostate,3,prostate
bowel,3,bowel,bowels
colon,3,colon
celiac,4,celiac
mesenteric,4,mesenteric
thoracolumbar,4,thoracolumbar
rib,3,ribs,rib
mediastinum,3,mediastinum
mediastinal,4,mediastinal
cardiomediastinal,4,cardiomediastinal
paramediatinum,3,paramediastinum
tracheal,4,tracheal
main bronchial,4,main bronchial
diaphragm,3,diaghragm
hemidiaphragm,3,hemidiaphragm
chin,3,chin
ampullary,4,ampullary
ampulla,3,ampulla
jugular,4,jugular
retrocardiac,4,retrocardiac
femoral,4,femoral
femur,3,femur,femor
popliteal,4,popliteal
subclavian,4,subclavian
vena cava,3,vc,vena cava
pubic,4,pubic
suprapubic,4,suprapubic
rami,3,rami,ramus
sacral,4,sacral
ala,3,ala
urinary,4,urinary
brachiocephalic,4,brachiocephalic
pneumonic,4,pneumonic
adenoid,3,adenoid
hip,3,hip,hips
lumbar,3,lumbar
liver,3,liver
hepatic,4,hepatic
intrahepatic,4,intrahepatic
transverse,4,transverse
sigmoid,4,sigmoid
pericolonic,4,pericolonic
lymph,3,lymph
lymphatic,4,lymphatic
iliac,4,iliac
ileum,3,ileum
cavoatrial,4,cavoatrial
mitral,4,mitral
adrenal,4,adrenal
bile,3,bile
biliary,4,biliary
duodenum,3,duodenum
duodenal,4,duodenal
epicardial,4,epicardial
ankle,3,ankle,ankle mortise
plantar,4,plantar
calcaneus,3,calcaneus
calceneal,4,calceneal
talus,3,talus
ica,3,internal carotid artery,ica,internal carotid arteries
cca,3,common carotid artery,common carotid arteries
eca,3,eca,external carotid artery,external carotid arteries
brain,3,brain
knee,3,knee,knees
valleculla,3,vallecula
cervical,4,cervical
costophrenic,4,costophrenic
rectum,3,rectum
rectal,4,rectal
hiatal,4,hiatal
paraesophageal,4,paraoesophageal,paraesophageal
spleen,3,spleen
l2,3,l2
l1,3,l1
l3,3,l3
l4,3,l4
l5,3,l5
t12,3,t12
t11,3,t11
t10,3,t10
t9,3,t9
t8,3,t8
c1,3,c1
c2,3,c2,atlas
c3,3,c3
c4,3,c4
periostial,4,periostial
pericardium,3,pericardium
segmental,4,segmental
bronchi,3,bronchi,bronchii
great,4,great
axillary,4,axillary
skin,3,skin
uterus,3,uterus
uterine,4,uterine
leg,3,leg
myocardial,4,myocardial
