lemma,poscode,surface
vasculature,3,vasculature
vascular,4,vascular
pleura,3,pleura,pluera
pleural,4,pleural,plueral
superior,4,superior
junction,3,junction
annulus,3,annulus
upper,3,upper
lobe,3,lobe,lobes
lobar,4,lobar
lateral,4,lateral
mid,4,middle,mid
lower,4,lower
zone,3,zone,zones
r,4,r,right,right-sided
l,4,l,left,left-sided
artery,3,artery,arteries,aa
arterial,4,arterial
venous,4,venous
arteriovenous,4,arteriovenous
vein,3,vein,veins
inlet,3,inlet,inlets
vessel,3,vessel,vessels
bilateral,4,bilateral
unilateral,4,unilateral
parenchyma,3,parenchyma
parenchymal,4,parenchymal
midline,4,midline
gutter,3,gutter,gutters
wall,3,walls,wall
posterior,4,posterior
percutaneous,4,percutaneous
spine,3,spine
common,4,common
anterior,4,anterior
pole,3,pole
base,3,base
basal,4,basal
internal,4,internal
external,4,external
superficial,4,superficial
callus,3,callus
formation,3,formation
tract,3,tract
central,4,central
structure,3,structure,structures
joint,3,joint,joints
branch,3,branch,branches
musculature,3,musculature
loop,3,loop,loops
flexure,3,flexure
fat,3,fat
fluid,3,fluid
diverticulum,3,diverticulum,diverticuli
node,3,node,nodes
valve,3,valve
gland,3,gland,glands
glandular,4,glandular
tissue,3,tissue
duct,3,duct,ducts
ductal,4,ductal
distal,4,distal
hilar,4,hilar
hilum,3,hila,hilum,hilus
aspect,3,aspect
proximal,4,proximal
bone,3,bone
metaphysis,3,metaphysis
angle,3,angle,angles
segment,3,segment
medial,4,medial
vertebra,3,vertibra,vertibrae
cortex,3,cortex
cortical,4,cortical
surface,3,surface
terminal,4,terminal
